map	col1	col2	avgrr
4	14250000	14300000	6.14
4	14300000	14350000	6.21
4	14350000	14400000	6.39
4	14450000	14500000	6.63
4	14500000	14550000	6.74
4	14550000	14600000	6.84
4	14650000	14700000	7.03
4	14700000	14750000	7.175
4	14750000	14800000	7.26
4	14800000	14850000	7.31
4	14850000	14900000	7.33
4	15050000	15100000	7.33
4	15100000	15150000	7.31
4	15150000	15200000	7.28
4	15250000	15300000	7.21
4	15400000	15450000	6.99
4	15500000	15550000	6.86
4	15950000	16000000	5.85
4	16000000	16050000	5.66
4	16100000	16149999	5.48
4	16149999	16200000	5.29
4	16250000	16300000	5.07
4	16350000	16399999	4.76
4	16399999	16450000	4.62
4	16450000	16500000	4.52
4	16500000	16550000	4.41
4	16600000	16649999	4.14
4	16649999	16700000	3.96
4	16800000	16850000	3.72
4	16850000	16900000	3.66
4	16900000	16950000	3.6100000000000003
4	17100000	17150000	3.52
4	17150000	17200000	3.52
4	17200000	17250000	3.52
4	17300000	17350000	3.53
4	17350000	17400000	3.62
4	17450000	17500000	3.81
4	17500000	17550000	3.99
4	17550000	17600000	4.12
4	17600000	17650000	4.42
4	17700000	17750000	4.885
4	17850000	17900000	5.7
4	17900000	17950000	6.11
4	17950000	18000000	6.4
4	18000000	18050000	6.66
4	18100000	18150000	7.3
4	18150000	18200000	7.6850000000000005
4	18250000	18300000	8.24
4	18300000	18350000	8.49
4	18350000	18400000	8.74
4	18400000	18450000	8.98
4	18450000	18500000	9.27
4	18550000	18600000	9.59
4	18600000	18650000	9.88
4	18700000	18750000	10.27
4	18850000	18900000	10.88
4	18950000	19000000	11.37
4	19000000	19050000	11.64
4	19050000	19100000	11.525
4	19100000	19150000	11.39
4	19150000	19200000	11.23
4	19200000	19250000	11.1
4	19250000	19300000	10.965
4	19400000	19450000	10.49
4	19450000	19500000	10.28
4	19800000	19850000	8.31
4	19900000	19950000	7.83
4	19950000	20000000	7.35
4	20050000	20100000	6.65
5	0	50000	2.66
5	800000	850000	5.22
5	1200000	1250000	6.48
5	1300000	1350000	6.44
5	1450000	1500000	6.4
